terpaan	attack.
tersudut	pushed in a corner, cornered.
tersuji	be embroidered in or on.
tersulam	embroidered
tersulut	lit, set afire.
tersumbat	stepped up, gagged, clogged up.
tersumpal	clogged, stopped up.
tersundak	bump accidentally.
tersungging	1 pointed. 2 faint, forced (of a smile).
tersungkur	fall head first.
tersunjam	with head downward, head first.
tersurak	hidden (away).
tersurat	1 written. 2 destined, fated, written in the palms of o.'s hand.
tersurut	1 retired. 2 diminished.
tersusul	be caught up with.
tersusun	1 arranged in orderly fashion. 2 composed formed, compiled.
tertabrak	accidentally crashed into.
tertabung	put into savings.
tertagih	collected.
tertahan	1 endured. 2 detained, impeded.
tertahan-tahan	1 repeatedly restrained. 2 repeatedly break down (of car). 3 faltering (of speech, o.'s breath, etc.).
tertahankan	1 checked, restrained. 2 endured.
tertakung	accumulated (of liquids).
tertakup	be closed firmly (of two symmetrical things).
tertalah-talah	hastily, hurriedly.
tertambah	1 in advertenly added. 2 augmented.
tertambang	mined.
tertambat	tethered, tied up.
tertampak	visible.
tertampung	accommodated.
tertanam	planted, buried.
tertancap	embedded, stuck.
tertanda	marked, signed.
tertandingi	can be matched.
tertanggal	dated.
tertanggung	endured, borne.
tertanggungkan	endured, bearable.
tertangkap	get caught.
tertangkis	repulsed, parried.
tertangkup	1 closed. 2 laid face down.
tertarik	1 extracted. 2 attracted, interested.
tertarik-tarik	be dragged along in an erratic way.
tertarung	stumbled on s.t.
tertatih-tatih	wobbly.
tertatu	wounded.
tertawa	laugh.
tertawaan	object of ridicule.
tertawan	1 interned. 2 captivated.
tertebak	1 guessable. 2 be guessed.
tertegun	1 starled to the point standing still a moment, stupefied. 2 stop suddenly.
tertegun-tegun	keep stopping.
tertekan	suppressed, oppressed.
tertekuk	folded.
tertekur	be bowed (of the head).
tertelan	1 swallowed accidentally. 2 swallowed up, consumed.
tertelanjangi	found out (of an evil practice), be laid bare.
terteliti	be examined.
tertelungkup	flat on o.s. face.
tertembak	1 shot. 2 struck (as if by a projectile).
tertembus	perforated, pierced.
tertempa	forged.
tertempakan	malleable.
tertempati	be occupied.
tertempel	stuck, attached.
tertendang	kicked.
tertentang	contradicted.
tertentu	1 certain, sure. 2 certain, s.t. or s.o. specific but unnamed.
tertepis	warded off.
tertera	1 officially stamped. 2 printed.
tertib	1 order. 2 ceremony. 3 orderly, correct.
tertidur	fall asleep.
tertikam	stabbed.
tertimbun	1 heaped up. 2 buried under, covered with.
tertimpa	struck down.
tertindih	be pinned under.
tertinggal	left behind.
tertinggi	highest, supreme, top-level.
tertingkar	surrounded.
tertinju	be accidentally struck with the fist.
tertipu	cheated. tricked.
tertiup	blown.
tertolong	1 helped. 2 can be helped.
tertombak	speared.
tertonjol	1 pushed or thrust forward. 2 conspicuous.
tertua	oldest.
tertuang	poured forth.
tertubruk	1 slammed into. 2 struck, run over.
tertudung	covered.
tertuju	directed.
tertukar	get accidently exchanged.
tertulang	1 feel to the marrow. 2 down to skin and bones.
tertulis	written.
tertumbuk	1 accidentally made to collide. 2 pounded. 3 light on s.t. (of eyes, gaze, etc.).
tertumpah	1 spilled, shed. 2 be concentrated on.
tertumpang	included.
tertumpat	crammed, stuffed.
tertumpu	concentrated on.
tertumpuk	1 pilled up. 2 hoarded.
tertuna	hurt.
tertunda	delayed.
tertungging	be in a position with rear end up.
tertungkup	in a face downward position.
tertunu	get burnt or roasted.
tertusuk	get stabbed.
tertutuk	struck, knocked.
tertutup	1 shut, closed. 2 locked, secured. 3 reclusive, closed (of o.'s personality or feelings). 4 closed off, not available.
terubah	changed.
terubuk	k.o. fish with highly prized roe.
terucap	have been pronounced.
terucapkan	1 mentionable. 2 happen to be uttered.
teruf	see terup.
teruji	put to a test.
teruk	(lit.) extreme, excessive.
terukir	carved.
terukur	measured. measurable.
terulang	repeated, repeatable.
terulur	1 stretched out. 2 protruding, projecting.
terum	see derum 2.
terumbai-umbai	dangling, swinging.
terumbu	ridge of rock exposed at low tide.
teruna	1 youth, youthful. 2 (mil.) cadet.
terundi	drawn (of lots, etc.0.
terung	eggplant.
terunggul	most superior.
terungkap	1 expressed, pronounced. 2 revealed (of a secret).
terungkit	get pried up, opened up (of secrets, problems, etc.).
terungku	(lit.) prison.
teruntir	sprained.
teruntuk	intended for, destined for.
terup	(crd.) 1 trump. 2 k.o. game similar to whist or bridge.
terurai	hang loosely.
terurus	organized, taken care of, looked after.
terus	1 straight, direct. 2 straight away, immediately. 3 continue, keep on. 4 (coll.) then, next.
terusan	1 continuation, sequel. 2 canal, channel.
terusi	verdigris, copper sulfate.
terusik	be disturbed.
terusir	evicted, driven out.
terusut	investigate.
terutama	1 superior, best. 2 especially, particularly. 3 most important. terutama-nya especially.
terwakil	be represented.
terwedar	1 dsclosed. 2 be let down.
terwelu	(java) hare.
terwujud	materialized.
tes	(coll.) a test.
tesaurus	thesaurus.
tesi	(china) teaspoon.
tesis	thesis.
tesmak	(coll.) glasses, spectacles.
testamen	/testament/ will, testament.
tetabuhan	music with percussion to accompany dancing.
tetak	1 chop, hack. 2 circumcized.
tetakan	1 a chopping blow. 2 a notch from hacking. 3 (java) circumcise.
tetampah	sieve, winnowing basket.
tetamu	(lit.) guest.
tetanaman	crops.
tetangga	neighbor.
tetanus	tetanus.
tetap	1 permanent, constant. 2 settled, decided. 3 persistent, unchanged.
tetapan	(math., tech.) a constant.
tetapi	but, yet. /tetapi-tetapian/ (coll.) ands, ifs, or buts.
tetarub	(java) stage with decorations (of leaves, papers, and fruits).
tetasan	s.t. hatched.
tetek	teat.
tetek-bengek	trivial matters and details of various kinds.
tetel	(java) glutinous rice steamed in coconut milk.
tetelan	(java) bones with a bit of adhering meat.
tetelo	a poultry disease, newcastle disease.
tetes	1 drop. 2 (java) molasses.
tetesan	drop.
tetirah	(java) go s.w. for a cure.
tetoron	k.o. synthetic material.
tetua	1. (jakarta) moles, age spots. 2. elder, head.
tetuang	(lit.) bamboo wind instrument.
tetuduh	accused.
tetumbuhan	all k.o. plants.
teuku	/tengku/(teku, tengku) title of leader in aceh.
teve	1. (coll.) television. 2. (tweede vrouw) (coll.) 2d wife, ministress.
tewas	1 killed in action, slain. 2 lose. 3 (lit.) defect, flaw.
tewel	(java) unripe jackfruit.
teyol	(java) exhausted.
tg.	[tanjung] (geog.) cape.
tgk.	[tengku] a title of certain nobility.
tgl.	[tanggal] calender date.
th.	[tahun] year.
thd.	/thdp./ [terhadap] toward, with regard to.
thema	see tema.
theologi	/theologia, theologis/ see teologi, teologis.
therapi	see terapi.
therapis	see terapis.
thian	/tian/ (china) heaven, god.
thn.	[tahun] year.
thok	/tok/ (java) only, so much and not a bit more.
thp.	[terhadap] toward, to.
thr	1. [tunjangan hari raya] bonus received near holidays. 2. [taman hiburan rakyat] publik recreation and enterainment park.
tht	tht
tiada	not, not existing
tian	[anat] womb.
tiang	1 pole, post, mast. tiang-bendera flagpole. tiang-pagar fence post. tiang-kapal ship's mast. tiang-agung (naut) main mast. tiang-gantungan gallows. tiang-salib a cross. 2 s.t. essential in an endeavor. tiang-keluarga backbone of the family.
tiap	1. 1) every. each. 2) each time. 2. 1) ( china) dosage. 2) key money (to enable o. to rent quarters).
tiarap	face downward.
tiba	arrive.
tiba-tiba	suddenly, unexpectedly.
tiban	see dukun.
tibum	[ketertiban umum] public order.
ticket	ticket (us. for transportation but not entertainment).
tidak	no, not.
tidak-tidak	nonsens
tidur	1 sleep. 2 slumber, sleep.
tifa	k.o. drum in east indonesia.
tiga	three.
tijak	(m) step on, tread on.
tik	see ketik.
tika-tika	skein of yarn.
tikai	difference.
tikam	1 wound s.o. by stabbing *(us. overhanded). 2 sword or knife thrust.
tikaman	1 a stab, thrust, jab. 2 stake in gambling. 3 cutting (of wind).
tikar	a plaited mat.
tikas	tikas
tikpi	(china) trident.
tiktak	sound of a clock, ticktock.
tikungan	a bend in the road.
tikus	mouse, rat. tikus-percobaan experimental mouse. tikus-belanda guniea pig. tikus-kesturi musk shrew. tikus-mondok mole. tikus-tanah field mouse.
tilam	s.t. to sleep on (mat, blanket, but esp. mattress).
tilang	[bukti pelanggaran] traffic ticket.
tilas	(java) trace.
tilawat	(islam) recitation of the koran.
tilawatil	/tilawatul/ (islam) recitation of the koran.
tilem-timbul	up and down.
tilgram	see telegram.
tilgrap	see telegrap.
tilia	lime tree.
tilik	1 glance at s.t. (often with supernatural conotation). 2 visit s.o.
tilikan	1 prediction. 2 examination, observation. 3 control, supervision.
tilp.	[tilpon] telephone.
tilpon	see telepon.
tim	[taman ismail marzuki] ismail marzuki cultural center in jakarta.
timah	tin, lead. timah-daun tin foil. timah-hitam lead. timah-putih tin. timah-wurung bismuth.
timang	1. rock (a child) in o's arms or a cradle. 2. 1) (lit.) test the balance of s.t. by shifting it in o.'s hand. 2) observe by holding in the hand. 3) consider an issue carefully.
timang-timangan	repeated rocking motion.
timangan	timangan
timba	pail, bucket, dipper.
timbal	1. balancing. 2 see timbel.
timbal-balik	on both sides.
timbalan	(counter) balance.
timbang	1. weighing. timbang-rasa symphaty, consideration of other's feelings. timbang-terima transfer. 2. see ketimbang.
timbangan	1 pair of scales, weights. 2 opinion, criticism, judgment. 3 equal. 4 rather than.
timbel	1 (java) lead (metal) . 2 weight on a scale.
timbil	sty in eye. timbilan (coll.) suffer from a sty.
timbrungan	interference.
timbul	1 float to the surface, emerge. 2 appear.
timbul-tenggelam	1 rise and sink. 2 be heavily in debt. 3 unsure.
timbun	/timbunan/ heap, pile.
timor	the island of timor.
timpa	(jakarta) punch s.t. timpaan befalling of, s.t. which pins down.
timpal	see timbal 1.
timpang	unstable, unbalanced.
timpas	dried up.
timpuh	see simpuh.
timpukan	a throw.
timpus	tapering.
timteng	[timur tengah] middle east.
timtim	[timor-timur] east timor.
timun	see mentimun.
timung	traditional herbal bath of kalimantan.
timur	east.
tinambah	(math.) addend.
tindak	act, action. tindak-balas reaction. tindak-pidana criminal act. tindak-tanduk behavior, conduct.
tindakan	1 measure, step. 2 action.
tindasan	1 oppression. 2 carbon copy.
tindih	overlapping.
tindihan	1 pressure. 2 oppression.
tindis	see tindih.
tinebar	(phys.) dispersoid.
ting	1. sound of a light metallic ring. 2. (java) lantern.
ting-tong	sound of repeated, varied mettalic ringing.
tinggal	1 live, stay. 2 remain, keep, stay. 3 be left, remaining. 4 all that is left, all that remains. 5 except. 6 leave (in set phrases).
tinggam	(m) k.o. conjuration which causes death by pierching o.'s likeness with a stinger from a ray fish.
tinggi	1 high, tall. tinggi-hati 1) proud, boasful. 2) conceited. 2 advanced.
tinggir	see tengger.
tingkah	1. 1) behavior, action. 2) caprice, whim. 2. k.o. drum.
tingkahan	musical accompaniment.
tingkal	borax.
tingkalak	(m) k.o. fish trap.
tingkap	1 (lit.) window. 2 blinds.
tingkapan	small window.
tingkat	1 floor, story. 2 rung, step. 3 level, degree. 4 phase.
tingkatan	1 floor, story. 2 class, level, standard. 3 stage, phase.
tingkepan	(java) traditional ceremony held for a woman seven months pregnant.
tingting	tingting
tingwe	[ngelinting dewe] 1 roll o.'s own cigarette. 2 cigarettes rolled by o.s.
tinja	1 feces, excrement. 2 ewage. bak-tinja cesspool.
tinjak	stride, step.
tinjauan	1 observation. 2 contemplation, consderation.
tinju	1 fist. 2 (sport) boxing.
tinta	ink.
tionggoan	(china) (ancient) china.
tionghoa	chinese. tionghoa-peranakan chinese of mixed inodnesian descent. tionghoa-totok chinese with no indonesian ancestral backround.
tiongkok	china.
tip	1. monetary remuneration. 2. tape recorder. 3. a bit of information. 4. adhesive tape. 5. see ketik.
tipak	(m) portion, quota, allotment.
tipar	(jakarta) dry rice field.
tipe	type, kind.
tipes	(med.) typhus.
tipi	see teve 1.
tipifikasi	typification.
tipikal	typical.
tipis	1. 1) thin. 2) slight, very small. 3) fine (of thread). 2. see typis.
tipografi	typography.
tipografis	typographical.
tipologi	typology.
tipologis	typological.
tipp-ex	/tip ek/ white out, white correction fluid. tipp-ex-an s.t. which has been corrected with white-out.
tipu	trick, deceit, fraud.
tipuan	1 deceit, swindle. 2 sham.
tir	1. (che.) rook, castle. 2. see ter 1.
tirai	1 curtain, blinds. tirai-bantal pillow fringe. tirai-kelambu mosquito net. 2 partition, screen. 3 backdrop.
tirakat	(java) do s.t. ascetic (fast, etc.) in order to fulfill a wish or commemorate an event.
tirakatan	jointly perform some ascetic act to achieve or commemorate s.t.
tiram	oyster.
tiran	tyrant.
tirani	tyranny.
tiras	(lit.) unraveled thread.
tirau	(m) gnome.
tiri	step-, related by the remarrige of a parent and not by blood. ibu-tiri stepmother. anak-tiri stepchild.
tiris	leak through.
tirisan	a leak.
tirta	(lit.) water. tirta-amerta elixir of life. tirta-kencana golden water.
tiruan	1 imitation, simulation. 2 counterfeit, forgery.
tirus	1 pointed. 2 haggard.
tisikan	a mend.
tit	sound of a car horn.
titah	royal word or command.
titan	titanium.
tite	ham hock.
titel	1 title. 2 column heading.
titi	wooden or bamboo foot bridge.
titian	1 footbridge. 2 narrow path or passageway. titian-batu stepping stones.
titih	see petitih.
titik	1 drop. titik-airmata teardrop. titik-api focus (of a lens). 2 period, point. titik-beku freezing point. titik-berat 1) center of gravity. 2) heart, center. titik-an drops, s.t. which was dripped.
titilaras	scale of notes.
titimangsa	(java) chronicle, date.
titinada	musical note. pola-titinada pitch.
titipan	1 entrusted goods. 2 deposit.
titir	alarm signal beaten out on drum, gong, etc.
titiran	(java) 1 propeller. 2 k.o. mill.
titis	1. see titisan. 2. see tetes.
titisan	(java) reincarnation.
titit	1. sound made by car or motorcycle horn. 2. (child language) penis.
titulatur	system of titles.
tituler	titular.
tiung	k.o. bird, mynah and other similar birds.
tiup	1 related to wind instruments. 2 blow (of wind).
tiupan	1 blast of wind, blowing. 2 s.t. blown on.
tivi	see teve.
tiwas	see tewas.
tiwikrama	(java, wayang) the process whereby kresna turns himself into wisnu in a crisis.
tiwul	k.o. snack made from dried cassava.
tk	[taman kanak-kanak] kindergarten.
tk.	tk.
tki	[tenaga kerja indonesia] indonesian blue-collar workers and craftsmen employed overseas.
tks	[tenaga kerja sukarela] volunteer worker.
tkt.	[tingkat] 1 level. 2 floor, story.
tkw	1. k.o. cheap liquor. 2. [tenaga kerja wanita] female worker.
tkw.	tkw.
tl	[timur laut] north east.
tledek	see ledek 1.
tlh.	[telah] already.
tlola-tlolo	(java) move (o.'s. head) around in fear or worry.
tlundak	/tlundakan/ steps, stairs.
tn.	[tuan] mr., esp. for non-indonesians.
tni	[tentara nasional indonesia] indonesian national armed forces.
to	1. (java) right ? (particale eliciting agreement). 2. (china) close or fail (of businesses). 3. see datuk.
toalet	see toilet 1,2.
toapekong	see tepekong.
tobat	1 (rel.) repent and forswear. 2 learn o.'s lesson and swear off. 3 i have had it ! that does it ! (exclamation of surprise and regret).
tobel	see tobil.
toberos	see terobos.
tobil	my god (a mild exclamation of surprise and concern).
toblos	see terobos.
toboh	group.
tobong	limekiln.
tobros	see terobos.
todak	k.o. fish, the gar.
todongan	1 threat consisting of s.t. pointed (wepon, etc.). 2 hold-up, stick-up.
toets	see tuts.
tofan	see topan.
toga	1 academic gown. 2 judge's robe.
toge	see tauge.
togel	tail-less.
toggak	1 tree stump. 2 post, pole. 3 milestone.
togog	1 (wayang) a servile character who changes allegiance. 2 opportunist.
togok	1. 1) a log trimmed all its branches, a rough post or stake. 2) torso, statue of a torso. 3) (jakarta) stupid. 2. k.o. taper lamp.
toh	1. (coll.) nevertheless, after all. 2. see to 1.
tohok	1. 1) harpoon or javelin with rope attached. 2) a downward stab. 2. see bintang, pari 1.
tohor	1 dried up (e.g. after tide has gone out). 2 superficial.
toilet	1. /twalet/ process of grooming. 2. /twalet/ toilet, w.c.
tojin	(china) taoist priest.
tojokan	a thrust.
tok	1. just, only. 2. sound of knocking.
tokcer	1 working well, easy to start (of engine), lighting easily (of matches), getting pregnant easily, etc. 2 the right thing, most efficacious.
toke	1. /tokeh/ see tauke. 2. /tokek/ 1) k.o. house lizard with distinctive call. 2 call of such a lizard. 3 term of abuse.
tokh	see toh 1.
tokio	tokyo.
toko	shop, store. toko-buku bookstore, bookshop. toko-emas jewelry store. toko-kelontong store selling notions. toko-serba ada department store.
tokoh	1 (lit.) shape, form. 2 personage, prominent figure. 3 character in a story.
tokok	1. s.t. extra, s.t. added. 2. (m) hammer.
tokolan	(java) bean sprouts.
tokong	1. 1) (lit.) shaving a woman's hair as punishment. 2) (coll.) short hair (of women). 2. rocky islet. 3. (lit.) china temple.
tokowan	shopkeeper, store owner.
toksik	toxic.
toksikologi	toxicology.
toksikosis	toxicosis.
toksin	toxin.
tol	toll, esp. on highways. jalan-tol tollroad.
tolak	push away.
tolakan	1 a push, shove, or party. 2 a reject. 3 (coll.0 rejection.
tolan	acquaintance, friend.
tole	(java) 1 boy. 2 term of address for boys, esp. as le`.
tolehan	a turn of the head.
toleran	tolerant.
toleransi	1 tolerance. 2 (coll.) consideration, understanding.
tolerer	/tolerir/ tolerate.
tolk	/tolek/ (coll.) interpreter.
tolok	1 equal, match. 2 standard. tolok-ukur measuring rod.
tolol	stupid, simple-minded.
tolong	1 help. 2 please.
tom	(jakarta) bridle.
toma	move directly against current or wind (of boats).
tomat	tomato. saus-tomat ketchup.
tombak	1 spear, lance. 2 a linear measure of around 3.6 meters.
tombok	additional sum of money.
tombol	1 knob. 2 button for mechanical devices, push button switch.
tombong	1. mortar, artillery. 2 see tumbung 1.
tomomg	see tombong 1.
tompang	see tumpang.
tompel	(jakarta) bierthmark.
tomplok	see nomplok.
ton	1. ton. 2 [peleton] (mil.) platoon.
tonase	tonnage.
toner	millionaire (in colonial era).
tong	1. barrel, vat, cask. tong-an by the barrel. 2 sound of a gong, clang.
tongak	see dongak.
tongcai	tongcai
tonggeret	k.o. cicada.
tonggok	(lit.) heap, pile.
tonggos	(jakarta) bucktoothed.
tongkang	barge.
tongkat	cane, stick.
tongkeng	(anat.) small of the back. tulang-tongkeng coccyx.
tongkol	1. tuna fish. 2. 1) knob (of wood). 2) stem of an ear of corn.
tongkrongan	place where s.t. sits around idly.
tongol	see nongol.
tongong	(coll.) noncompoop, blockhead.
tongpes	[kantong kempes] (sl.) broke, penniless.
tongsan	[china] china.
tongseng	k.o. dish prepared with cabbage and meat us. lamb.
tongtong	signal drum made from a bamboo or hollowed-out log.
tonikum	tonic (tonic).
tonil	1 theater, the stage. 2 show.
tonjok	(jakarta) fist.
tonjol	(lit.) protrusion, bump (on the skin).
tontonan	1 show, performance. 2 spectacle.
tonus	tone (of muscles).
top	1. (coll.) superlative. 2. k.o. game of chance.
topan	typhoon, hurricane.
topang	prop, support, abutment.
topangan	support, prop, abutment.
topas	topaz.
topdal	ship's log.
topekong	see tepekong.
topeng	mask.
topi	hat. topi-baja steel helmet. topi-gabus pith-helmet. topi-jaksi panama hat. topi-keselamatan safety helmet. topi-pandan/rumput/tikar straw hat.
topik	topic.
toples	1. topless, bare-breasted. 2. /tople`s/ see stoples.
topo	(jakarta) rag (for wiping, dusting).
topobroto	(java) lead a sedentary, ascetic way of life.
topografi	topography.
topong	1. 1) a small basket 2) conical. 2. (java) k.o. rimless hat.
torah	(bib.) 1 pentateuch. 2 tablet (of the law).
torak	1 bobbin holder. 2 piston.
torak-torak	(auto.) cylinder.
torat	see taurat.
torbus	see tarbus.
torehan	1 a notch, incision. 2 slit.
torek	(jakarta) hard of hearing.
tores	see toreh.
torne	see turne.
toros	see turus.
torpedo	torpedo.
torsi	torsion.
tortor	k.o. batak dance.
toserba	[toko serba ada] /tosera/ department store.
total	1 total. 2 completely.
totalisator	1 sweeptakes. 2 soccer pool.
totalitas	totality.
totaliter	1 total. 2 totalitarian.
totaliterisme	totalitarianism.
totalitet	totality.
toto	k.o. lottery.
totok	1. 1) full-blooded. 2) (coll.) a full-blooded chinese. 3) (coll.) newcomer. 2. see tutuk.
totokromo	proper conduct, etiquette.
totol	(jakarta) freckles.
tour	see tur.
tournooi	/turnoi/ see turnoi.
towel	(jakarta) touch slightly with finger.
toya	toya
tps	[tempat pemungutan suara] poll, voting place.
tracee	see trase.
trachom	see trakhom.
trada	(moluccas) see tiada.
tradisi	tradition.
tradisionil	/tradisional/ traditional.
trafo	1 neon-light transformer. 2 voltage regulator.
tragedi	tragedy.
tragedis	tragic.
tragik	tragedy.
tragis	tragic.
trah	(coll.) having a lineage. ayam-trah pure-breed chicken. trah-hamengku buwono of the yogyanese royal family.
trak	sund of click (of key in lock, etc.).
trakhom	/trakhoma, trakhum/ (med) trachoma.
traksi	traction.
traktat	treaty.
traktiran	treating.
traktor	tractor.
traktorisasi	program to popularize the use of tractors in agricultural production.
trali	/tralis/ see terali.
trampil	skilled, competent.
transaksi	transaction, deal.
transdisiplin	/transdisipliner/ (lit.) cross-disciplinary.
transenden	transcendent.
transendental	transcendental.
transfer	transfer.
transfigurasi	transfiguration.
transformasi	transformation.
transformator	(tech.) transformer.
transfusi	transfusion.
transisi	transition.
transito	transit. pelabuhan-transito transit harbor.
transitor	transitor
transkopemada	[ (departemen) transmigrasi, koperasi dan pembangunan masyarakat desa] ministry of resettlement, co-operatives, and village development.
transkrip	transcript.
transkripsi	transcription.
transliterasi	transliteration.
transmigran	o. who has been resettled in another region.
transmigrasi	system of resettling inhabitants of overpopulated island to less populated regions.
transmisi	transmission.
transmutasi	(biol.) transmutation.
transparan	1 transparent. 2 transparency.
transparansi	transparency.
transplantasi	transplantation.
transpor	transport.
transportasi	transportation.
trap	1. (coll.) stairs. 2. see terap 2.
trapesium	(math.) trapezoid.
trapo	see trafo.
tras	trass, k.o. rock used for cement.
trase	1 (ground) plan. 2 path.
trasi	see terasi.
tratak	see teratak.
trayek	1 designated route for public transportation. 2 license to operate a vehicle on that route. 3 (r.r.) section.
treak	see teriak.
trek	designated route for public vehicles.
trek-sando	(sport) arm-stretcher.
trekbom	land mine.
treker	trigger (coll.).
trekpen	trekpen
trem	streetcar, tram.
trema	(ling.) diacritical mark indicating diaeresis.
trembesi	(java) k.o. tree.
tremos	see termos.
trenggiling	see tenggiling.
trengginas	(java) swift, quick-moving.
treningspak	athlete's sweatsuit, tracksuit.
trenyuh	(java) moved to pity.
tresno	(java) feel love.
tret	sound of metallic objects colliding.
tri	1. [tebu rakyat intensifikasi] smallholder's sugarcane intensification, an agricultural program. 2. [tentara rakyat indonesia] indonesian people's army (1945-50).
tri-	tri-
triangulasi	(tech.) triangulation.
triaspolitika	montesquieu's threefold division of political authority : the legislative, judicial, and executive powers.
tribulan	quarterly.
tribun	/tribune/ 1 stand (part of stadium) 2 reviewing stand (for officials).
tribut-plonco	see atribut.
trica	/trica(k)/ three-wheeled pedicab.
tridasawarsa	1 religious sect incorporation the three streams of china religio-ethical principals : taoism, confucianism, buddhism. 2 the three responsibilities of institute of higher education : research, teaching, and social service.
triftong	(ling.) triphthong.
trigu	see terigu.
trik	(crd.) trick.
trik-trak	sound of s.t. creaking.
trikembar	(lit.) triplet.
triko	k.o. fabric, tricot.
trikora	trikora
trilala	1 hum a cheerful tune. 2 act cheerful. 3 careless, haphazard.
trilingga	(ling.) k.o. reduplication with triple repetition of o. element, e.g. cas-cis-cus.
trilipat	threefold.
trilogi	trilogy.
trilyun	quintillion.
trima	see terima.
trimatra	three-dimensional.
trimo	see nerimo.
trimurti	(rel.) the oneness of the three hindu gods, brahma, vishnu, and siva.
trindil	(jakarta) robbed, fleeced.
trinitas	(rel.) trinity.
trio	trio.
trip	(coll.) trip, journey.
tripida	[tri pimpinan daerah] regional leadership triumvirate, consisting of the leaders of police, army, and village.
triplek	/tripleks/ plywood.
triprogram	(lit.) a program consisting of three points.
trirangkap	(lit.) triple.
trisila	(lit.) threefold. sumpah-trisila threefold oath.
trisilabis	trisyllabic.
trisula	trident, a three-pronged spear.
tritugas	(lit.) three functions.
tritunggal	1 (rel.) trinity. 2 tripartite, triumvirate.
tritura	[tri tuntutan rakyat] political slogan of 1960s, the people's three demands : banning the indonesian communist party, purging communist elements from the dwikora cabinet, and lowering prices of basic commodities.
triunsur	(lit.) triadic.
triwarsa	(lit.) three years.
triwindu	(lit.) 24 years.
triwulan	see tribulan.
trm.	[transmigrasi] resettlement.
trol	trawl. kapal-trol trawler.
trombon	trombone.
trombosa	(med.) thrombosis.
tromel	metal lunch-box.
tromol-pos	postal box.
trompet	1 trumpet, esp. of european origin. 2 automobile horn.
trompetis	trumpet player.
trondol	(java) 1 featherless, esp. of live avians. 2 leafless.
trop	see terup.
tropika	tropics.
tropikalisasi	making s.t. suitable for the tropics.
tropis	tropical.
tropus	(ling.) trope.
trotoar	/trotoir/ sidewalk.
trubuk	see terubuk.
truf	see terup.
truk	truck.
trusi	trusi
tsanawiyah	(islam) junior high school.
tsb.	(tersebut) above-mentioned.
tsp	1. (toko sandang pangan) shops selling clothing and food. 2. k.o. chemical fertilizer.
tst	(tahu sama tahu) unspoken agreement between two persons participating in a mutually advantageous, often illegal, deal.
tt	1. (timur tengah) middle east. 2. (teritorium tentara) military administrative unit at provincial level, used until early 1950s.
tt.	tt.
ttd.	(tertanda) signed.
ttg.	1. (tentang) about, concerning. 2. /ttgl./ (tertanggal) dated.
