sadistis	sadistic.
sandiwarawan	dramatist.
sando	k.o. chest-exercise device, consisting of springs attached to handles.
sandra	see sandera.
sandung	pedal of weaving loom. sandung-an stumbling block.
sanepa	figure of speech to express a superlative by referring to a quality the opposite of the expected and using it as o. of the standards of comparison; that is, saying that in comparison to the thing described the characteristic thing has the opposite quali
sanering	(fin.) currency reform.
sang	honorific ephithet or article (also used in sarcastic or derogatory way). sang-dewi goddess. sang-hyang/yang title for god. sang-penebus (bib.) the redeemer. sang-surya 1 sun. 2 sun god.
sanga	1. dross. 2. ter-sanga-sanga nervouse and in a hurry. 3. see wali.
sangai	1. lid, cover, top. 2 ber-sangai warm o.s.
sangan	(java) earthen pot. meny-(s)angan heat in utensil without oil or water.
sangar	1. ill-fated, bringing misfortune, spooky. 2. heated in utensil without oil.
sangat	1 very extremely. 2 intense, violent, vehement. ke-sangat-an excessive, extreme.
sangawali	see wali.
sangga	prop, support. sangga-buku book rest. sangga-kejutan (auto.) shock absorber.
sanggah	1. (bali) house-shrine. 2 protest, oppose, contradicted the truth of the report.
sanggahan	protest, rejoinder, rebuttal.
sanggama	see senggama.
sanggar	1 small house temple. 2 studio. sanggar-kerja workshop, atelier. sanggar-poto photo studio.
sanggat	run aground.
sanggerah	1. bloodletting. 2. traveler's rest house.
sanggit	gnash.
sanggul	knot of hair, hair bun.
sanggup	1 able, capable. 2 be prepared to do.
sanggurdi	stirrup.
sangit	1 smelling burnt or scorched, burnt or scorched (smell). 2 see walang.
sangka	1 supposition, idea. 2 suspicion.
sangkak	1. forked, fork shaped. 2. have goose flesh, ruffle feathers.
sangkakala	1 valveless trumpet used in ceremonies. 2 (rel.) last trumpet.
sangkal	1. handle (of hammer, adz, etc.). 2 be unwilling.
sangkala	see sengkalan.
sangkalan	disavowal, denial.
sangkar	1. 1) bird cage. 2) chicken coop. 2. diagonal.
sangkaran	1) bird cage, chicken coop. 2) encagement.
sangking	see saking.
sangkur	bayonet.
sangkut	hook onto. sangkut-paut relation, connection, relevance. (jakarta) drop in for a while.
sangkutan	1 relation, connection. 2 involvement. 3 peg, hook. 4 obstacle.
sangling	(java) polish, burnish.
sangoni	see sangu.
sangra	(sunda, jakarta) fry without oil.
sangsai	poor, miserable.
sangsaka	[sang saka merah putih] the first indonesian flag.
sangsang	hook onto s.t.
sangsara	see sengsara.
sangsekerta	see sanskerta.
sangsi	1. doubt. 2. sanction.
sangsing	hold in o.'s hands.
sangu	1 provisions. 2 traveling funds.
sangyang	see sang.
sani	sublime.
sanitair	see saniter.
sanitasi	sanitation.
saniter	sanitary.
sanjai	tall and handsome.
sanjak	see sajak.
sanjakala	see senja.
sanjung	honor, praise.
sanksi	see sangsi 2.
sans	(bri.) no trump.
sansai	nostalgia.
sanskerta	sanskrit.
santa	(rel.) (female) saint. santa-maria saint mary.
santai	relaxed, relax.
santak	see sentak 2.
santan	milk squeezed from coconut.
santana	(sunda) title of lower nobility.
santap	1 dine (of royalty). 2 have a meal (written or formal speech).
santapan	food, meal.
santapan-rohani	spiritual nourishment.
santek	(java) latch.
santel	see cantel.
santen	see santan.
santeng	(java) sash worn around waist of traditional woman's dress.
santer	1 strong, heavy (of meteorological phenomena). 2 lively (conversation).
santet	black magic.
santiaji	briefing, indoctrination, or coaching given by o.'s superiors.
santiran	image, thing like s.t. else.
santiu	k.o. china fabric.
santo	(rel.) (male) saint. santo-petrus saint peter.
santri	1 student at traditional muslim school. 2 strict adherent of islam.
santrinisasi	process of making conduct (esp. of public affairs). strictly in accordance with principles and ceremonies of islam.
santu	see santo.
santun	1 well mannered, well behaved. 2 good manners.
santunan	1 help, sympathetic care. 2 compensation paid by insurance company.
santung	k.o. rough silk cloth, shantung.
sanubari	inner person, o.'s inner self.
saos	see saus.
sap	see saf.
sapa	1. sapa-an greeting. 2. (coll.) see siapa.
sapah	see sepah.
sapar	see safar.
saparila	see sarsaparila.
sapat	1. k.o. saltwater fosh eaten dried and salted. 2. (sunda) chopped, broken off.
sapersi	asparagus.
sapi	1 cow, bull, ox. 2. (zod.) taurus.
sapih	wean a child.
sapir	see safier.
sapit	see sepit.
saprodi	[sarana produk padi] infrastructure for rice production.
saprotan	[sarana produksi pertanian] infrastructure for agricultural production.
sapta	seven (in slogans or other coined expressions). sapta-usaha tama seven basic efforts.
saptamarga	the seven articles, armed forces oath.
saptamargais	o. who has taken the armed forces oath (a follower of the seven articles).
saptu	see sabtu.
sapu	broom. sapu-ijik broom of sugar palm fiber. sapu-lidi broom of split coconut midribs. sapu-tangan handkerchief.
saput	cover, shroud, veil.
saputangan	see sapu.
sara	pension, support.
sara-bara	confused, in disorder, in disarray.
saraf	1. (anat.) nerve. saraf-mata optical nerve. 2. (ling.) derivation of arabic words from the same root.
sarafi	neural.
sarak	(leg.) separated, parted.
sarakah	see serakah.
saran	suggestion. saran-yang baik a good idea. saran-an suggestion, proposition.
sarana	medium, tool, means.
sarang	1. 1) nest, lair, web. 2) hide-out, hideaway. 3) hotbed, breeding place. 4) (mil.) emplacement (for machine gun, etc.). 2. porous.
sarangan	(java) chestnut.
sarap	1. k.o. skin rash. 2. litter. 3 (coll.) crazy.
sarapan	1) breakfast. 2 ) have breakfast.
sarasehan	(java) informal discussion, meeting.
saraswati	female singer.
sarat	1. 1) loaded, laden, full. 2) (naut.) draft (of a ship). 2. see syarat.
sarau	(m) unfortunate.
sarden	/sardencis, sardine/ tinned sardines.
sarean	(java) grave, graveyard.
sareat	see syariah.
sarekat-islam	islam league, an early national;istic organization of 1910s and 1920s.
sarengat	see syariah.
sargut	rip with o.'s teeth.
sari	1 concentrate, essence. 2 nucleus, main point. 3 (biol.) pollen.
sari-sari	(coll.) daily, everyday. tak-sari-sari-nya unusual, extraordinary.
sariawan	see seriawan.
saridele	(java) soybean milk.
sarikat	see serikat.
saring	1 filter, strain, sift. 2 refine, distill. 3 sift, separate, sort out (information, meaning, etc.). 4 screen (personel for job).
saringan	1 sieve, strainer, filter. 2 screening.
sarip	see syarif.
saripati	see sari.
sarit	(m) difficult. srait-sarit rarely.
sarjana	1 scholar, academician degree-holder. 2 title of degree similar to the bachelor's. sarjana-hukum master of law. sarjana-lengkap phd candidate (pre-1980s). sarjana-kimia bs in chemistry.
sarjananisasi	the process of requiring employees to get bachelor's degrees.
sarkasme	sarcasm.
sarkastis	sarcastic.
sarkofagus	sarcophagus (esp. in archaeology).
sarmud	[sarjana muda] a bachelor (of arts, law, etc.).
saroja	see seroja.
saron	(java) o. of the metallophone instruments of gamelan.
sarong	see sarung.
sarsaparila	/sarsaparilla/ sarsasparilla drink.
sartan	(zod.) cancer.
saru	1. dim, vague. 2. k.o. australian pine. 3. (java) indecent, obscene.
saruk	1. /saruk-saruk/ dragging of feet. 2. have luck (in game), win.
sarundeng	see serundeng.
sarung	1 sarong. 2 case, container. 3 sheath. 4 wrapper. 5 condom.
sarungan	wearing a sarong.
sarut	1. (m) k.o. grass. 2. bite.
sarwa	all, the whole.
sarwaboga	omnivore.
sas-sus	rumor.
sasa	robust, strong.
sasak	1 wattle, coarse plaitwork of split bamboo. 2 bouffant (women's hairdo).
sasakala	(sunda) legend.
sasana	1 (java) auditorium, public center. 2 gymnastics training camp. sasana-tinju boxing arena.
sasanti	see sesanti.
sasap	1. pull up weeds. 2. see susup.
sasar	1 mad, insane. 2 dazed.
sasaran	1. target, aim, objective. 2. (m) playing field, field for practicing sports, shooting etc.
sasat	see persasat.
sasis	chassis.
sasmita	hint, divine signal, omen.
sastera	see sastra.
sasterakanta	(lit.) thesis.
sasterawan	see sastrawan.
sasterawati	see sastrawati.
sastra	books, literature.
sastrawan	man of letters.
sastrawati	woman of letters.
sat	1. large measure for rice of five or ten gantang. 2. see zat.
sata	(lit.) hundred.
satah	(math.) plane.
satai	see sate.
satal	[sangir dan talaud] two island groups north east of sulawesi.
satan	see setan.
satang	pole, stick, stake.
satar	a line.
sate	small pieces of meat roasted on skewer.
satelit	satellite.
saten	see satin.
sateria	see kesatria.
sateru	see setru.
satgas	[satuan tugas] task force.
satin	satin.
satir	satyr.
satiris	satirical.
sato	(java) wild animal.
satpam	[satuan pengamanan] security guard.
satria	see kesatria.
satron	(java) be hostile toward.
satru	1. k.o. cookie made with mung beans and palm sugar. 2. (java) see setru.
satu	one.
satuan	1 unit. 2 (mil.) unit, squad.
satwa	wild animal, fauna. satwa-lindung-an protected species.
satwaboga	carnivore.
satwacarita	animal fable.
satyalancana	indonesian award for merit, medal of honor.
sau	rustling sound.
saudagar	large-scale merchant.
saudara	1 brother, sister, cousin of same generation. 2 relative (us. of same generation). 3 formal term of address for s.o. of same age group or younger with whorm o. is nor acquainted. 4 afterbirth. 5 term address in official situation.
saudari	formal term of address to female of same age or younger with whom o. is not acquainted.
sauh	1. (naut.) anchor. 2. see sawo.
sauk	1. ladle. 2 scoop. sauk-sauk bucket, scoop.
saum	1 (islam) the fast. 2 (rel.) lent.
saung	cave, grotto.
saur	1. interlocking, entangled. get caught on, stumble. 2. repay a debt. 3. see sahur 1.
saus	1 sauce, gravy. saus-tomat tomato catsup. 2 mixture to give flavor to s.t. else.
saut	1. (java) snatch. 2. see sahut.
saw.	(islam) (salla'llahu 'alaihi wasallama) may allah bless him and give him peace (said after uttering muh.'s name).
sawa	see ular.
sawah	wet rice field.
sawal	see syawal.
sawala	debate.
sawan	(med.) 1 epilepsy. 2 fit, convulsions. sawan-bangkai apoplectic stroke.
sawang	1. cobweb. 2. atmosphere. 3. forest. 4. (java) look.
sawangan	(m) wasteland, dangerous wilderness.
sawar	barricade, fence.
sawat	1. shoulder strap, sling. 2. see pesawat.
sawi	mustard greens. sawi-putih china cabbage, lighter colored mustard greens. sawi-hijau darker colored mustard greens.
sawit	see kelapa.
sawo	1 k.o. fruit-bearing tree, sapodilla. sawo-kecik k.o. sapodilla with firm flesh. 2 tan, brown like the skin of sapodilla.
sawut	snack of steamed grated cassava with palm sugar.
saya	1 i, my. 2 yes (deferential).
sayambara	see sayembara.
sayang	1 pity. 2 love. 3 dear, darling.
sayap	1 wing. 2 (pol.) wing of a political party.
sayarah	/sayarat/ see bintang.
sayat	slice.
sayembara	prize contest.
sayet	see siyet.
sayid	(islam) lord, sir: title given to muh.'s direct descendants.
sayidi	my lord.
sayonara	(japanese, coll.) goodbye.
sayu	1 melancholy, downcast. 2 droopy.
sayup	soft, faint (of sound), blurred. sayup-sayup 1 blurred, indistinct, faintly heard. 2 scarcely, hardly. 3 (lit.) faintly seen.
sayur	1 vegetable. 2 vegetable soup.
sb	[serikat buruh] labor or trade union.
sbb.	[sebagai berikut] as follows.
sbg.	[sebagai] as.
schat	/sxat/ (coll.) darling (term of endearment).
schors	see skors.
schorsing	see skorsing.
sd	[sekolah dasar] elementary school.
sda.	[seperti di atas] as above.
sdg.	[sedang]
sdr.	[saudara] mr., ms. (as a title).
sdri.	[saudari] ms. (as a title).
se	1. [sarjana ekonomi] o. who holds a bachelor's degree in economics. 2. [surat edaran] circular (memorandum).
se-	1 one. 2 same. 3 all. 4 when, as soon as. 5 as...as.
seabrek-abrek	very much.
seantero	the whole, the entire. seantero-nya everything, entirely.
searah	in the same direction, having the same aim.
seba	present oneself before a king.
sebab	1 because. 2 cause, motive, reason.
sebagai	as, like.
sebagaimana	in the same manner as.
sebak	full of water to the point of overflowing. /se`bak/ see sibak.
sebal	1. resentful. 2. (java) deviate (from a principle).
sebaliknya	on the contrary, just the opposite, the other way.
sebam	1 gray. 2 dark.
sebanding	1 comparable (value, type, etc.). 2 proportional.
sebangun	uniform, unvarying.
sebar	1. asleep, numb (of arms or legs). 2. spread, disseminate, propagate.
sebarang	/sembarang/ any old, just any.
sebat	1. 1) brush s.t. away with flip of hands. 2) shake hands to dry them. 3) whip with long, slender rod. 4) steal by snatching. 2. quick in movement.
sebatangkara	all alone in the world.
sebaya	of the same age, a contemporary.
sebel	see sebal 1.
sebelah	1 one half. 2 beside. 3 in the direction of.
sebelas	11 (eleven).
sebelum	before, prior to. sebelum-nya previously, formerly.
sebentar	1 for a moment. 2 later in the same day.
seberang	1 across, opposite. 2 foreign (from outside the island or across the seas).
seberhana	a suit of clothes.
seberot	see sebrot 1.
sebet	fast, quick.
sebih	see tasbeh.
sebit	see sabit 1.
sebodo	see masa bodoh.
sebra	see zebra.
sebrang	see seberang.
sebrot	1. rob, pick pockets. 2. burst out.
sebu	full.
sebuk	1 infiltrate, penetrate. 2 interrupt a conversation.
sebul	blow.
seburit	sodomy.
sebut	1 mention. 2 name, call.
sebutan	1 term, expression, designation. 2 quotation. 3 designation, appellation. 4 (ling.) comment, predicate.
secaba	[sekolah calon bintara] (mil.) training school for noncomissioned officers.
secang	see sepang.
secara	1 in a......manner. 2 on... a scale. 3 as (if). 4 according to, in accordance with.
sedak	choke, swallow the wrong way. /se`dak/ rattan band around top of drum to keep the head taut.
sedan	sob. /se`dan/ (auto) sedan.
sedang	1.1) average, moderate, medium. 2) sufficient, fit. 2. 1) while, the time that. 2) be in the process of. 3) while, whereas.
sedap	1 delicious, tasty. 2 (coll.) nice, pleasing. 3 well, refreshed.
sedar	see sadar.
sedari	since.
sedarum	all together, in unison.
sedasi	sedation.
sedat	1 slow in thinking, sluggish. 2 stopped, stopped up.
sedekah	(rel.) 1 alms, give alms. 2 religious meal, offering to spirits, give a religious meal.
sedekala	see sediakala.
sedelinggam	red lead used as antirust paint.
sedeng	part in hair. /se`de`ng/ (jakarta) crazy.
seder	cedar tree.
sederhana	simple, plain, unpretentious.
sedia	1 ready. 2 willing.
sediakala	former, of old.
sedianya	actually, as a matter of fact, properly speaking.
sedih	1 sad, distressed. 2 tragic.
sedikit	1 a little, abit, some. 2 little, few. 3 a bit, slightly. sedikit-nya at least.
sedimen	sediment.
sedimentasi	sedimentation.
sedot	1 suck. 2 inhale, sip from.
sedotan	1 a straw. 2 a puff, inhalation.
sedu	1. 1) a sob. 2) a hicup. 3) (lit.) sad. 2. see seduh 1.
sedua	meny-i share part of the farm yield. meny-kan lease out on a part-time basis.
seduh	1. (m) pour boiling water on s.t. 2. see sedu 1.
seduk	scoop.
sedut	see sedot.
seeded	/sided/ seeded-an a seeded player.
sef	see sep 1.
seg	1. /sekh/ (coll.) you know. 2. see sek.
segah	full, satiated.
segak	blurt out. /se`gak/ 1 recovered from illness. 2 fresh. 3 proud.
segal	breathless, out of breath.
segala	1 all, all of them (of things that are not uniform). 2 entirely, wholly. 3 (coll.) and all, (do) unnecessarily.
segan	1 keep in o.'s place, feel that person o. is dealing with has a higher position. 2 be reluctant to do s.t. others might consider above o. or in regard to a person of higher status. 3 unwilling to do s.t. not quite proper.
segar	1 fresh. 2 refreshing. 3 delicious.
segara	(lit.) ocean. segara-kidul the java sea.
segel	1. 1) seal, stamp (notarizing, etc.). 2) ration coupon. 2. (naut.) length of anchor chain of about 12 meters.
segen	(jakarta) see segan.
segenap	see genap.
seger	see seher.
segera	quickly, immediately.
segi	1 side. 2 angle, aspect, facet. 3 sector.
segini	this much.
segitu	see gitu.
segmen	segment.
segmentasi	segmentation.
seh	see seg 1, syekh.
seharusnya	1 should, ought to. 2 properl(ly).
sehat	1 healthy. sehat-walafiat hale and healthy, safe and sound. 2 sound.
seher	piston.
sehingga	1 until. 2 with the result that.
seia	see ia 2.
seikat	a bundle, tied-up bunch, sheaf.
seimbang	1 balanced. 2 equal, balanced out.
sein	see sen 2.
seinendan	[japanese] youth army.
seinendojo	[japanese] youth training center.
seirama	in rhythm with.
seiras	similar
seiring	1 in a row. 2 of o. mind, unanimous. 3 together or along with.
seismik	seismik
seismograf	(geol.) seismograph.
sejabat	colleague from the same office.
sejahtera	1 prosperous. 2 safe.
sejajar	see jajar 1.
sejak	1. since, from the time that. sejak-tadi from a little while ago. 2. see sajak.
sejaman	see jaman.
sejarah	history. sejarah-pertumbuhan (bib.) book of genesis.
sejarawan	/sejarahwan/ historian.
sejati	true, real, genuine.
sejemput	1 a pinch. 2 a little bit of s.t.
sejerat	a bunch (of flowers, etc.).
seji	see saji.
sejodoh	1 twosome, couple. 2 a pair.
sejoli	see joli.
sejuk	cool, chilly.
sek	shag.
seka	rub o.s. clean.
sekadar	1 just enough to. 2 just for the sake of, just a little.
sekadarnya	1 to degree necessery (i.e. simply). 2 to the best of o.'s ability.
sekah	hearty, dashing.
sekak	1 chess. 2 checkmate.
sekakar	stingy.
sekakelar	see sakelar.
sekaker	see sekakar.
sekakmat	(che.) checkmate.
sekal	scale of a map.
sekala	see skala.
sekali	1. very. 2 [kalimantan] apparently. 3. 1) once, one time. 2) at the same time. 3) when (so-and-so happens), as soon as.
sekalian	1 all. 2 at the same time.
sekaligus	all at once.
sekalipun	although.
sekalor	k.o. herbal medicine.
sekam	husk, chaff, hull of rice.
sekampung	1 the whole village. 2 of the same village.
sekang	a plug.
sekap	1 rippen fruit by enclosing it in s.t. 2 lock s.o. up.
sekapan	1 ripe fruit. 2 prisoner.
sekar	(java) flower. sekar-mayang palm blossom (esp. used in weding ceremonies).
sekarang	1 now. 2 nowadays.
sekarang-sekarang	right now, at this very moment.
sekarat	agony, be in agony.
sekat	1. 1) screen. 2) (anat.) partition. 2. ice skates.
sekata	alike, of the same tenor.
sekaten	a festival held in solo and yogya in honor of muh.'s birthday.
sekater	tax collector.
sekaut	police inspector.
sekdalopbang	[sekretaris pengadilan operasi pembangunan] supra-cabinet-level coordinator of development operations.
sekedar	1 just enough to. 2 just for the sake of, just a little.
sekedarnya	1 to the degree necessery (i.e. simply). 2 to the best of o.'s ability.
sekedeng	see sedeng.
sekeduduk	see senduduk.
sekehendak	content.
sekel	(java) robust.
sekelar	see sakelar.
sekelat	woolen cloth.
sekelebatan	in a moment.
sekeliling	the surrounding area.
sekema	see skema.
sekeng	(java) poor.
sekerat	see sekarat.
sekeri	hinge.
sekering	see sekring.
sekerja	colleague.
sekertariat	see sekretariat.
sekertaris	see sekretaris.
sekerup	see sekrup.
sekesel	screen, partition.
seket	sketch.
sekher	see seher.
sekian	1 so-and-so much (an unnamed amount). 2 as much as this.
sekilas	a glance.
sekilwat	(mil.) sentinel, sentry.
sekin	knife.
sekip	1 (mil.) target. 2 firing range.
sekir	sand s.t., grind.
sekiranya	if perhaps, in case.
sekis	(geol.) schist.
sekitar	1 around. 2 approximately, about, circa. sekitarnya surroundings, environs.
sekjen	[sekretaris-jenderal] secretary-general.
seko	1 scout. 2 spy. 3 espionage.
sekoci	1. (naut.) boat, sloop. 2. bobbin, shuttle.
sekoi	k.o. grass yielding grain similar to millet.
sekolah	1 school. 2 attend school.
sekolahan	1 schooling. 2 school (building).
sekon	second (of time).
sekonar	(naut.) k.o. two-masted boat, schooner.
