bedel	(coll.) surgical operation.
belingkang	ter-belingkang sprawled.
belinjo	1. bullet (of gun, rifle). 2. see melinjo 1.
belintang	ber-belintang(an), ter-belintang lie across, be athwart.
belit	1 coil. 2 curve, bend.
belitung	billiton, an island s. of the riau archipelago.
beliung	1 carpenter's adze. 2 pickax.
beliut	bent and crooked.
belodok	1 k.o. fish, goby. 2 protruding (of eyes), similar to goby eyes.
belok	1. 1) muddy. 2) mud. 3) clayey soil. 2. 1) pulley. 2) stocks, fetter. 3. see blok 1,2.
belon	(jakarta) see belum.
belongkang	barge, river freighter.
belongsong	wrapper.
belontok	k.o. fish, large goby.
belorok	see blorok.
belorong	see blorong.
belot	1 turncoat, renegade, traitor. 2 be a turncoat. 3 (rel.) apostate.
belu-belai	chatter, gossip.
belubur	storage place for rice.
beludak	1. outburst (of laughter, applause). 2. viper.
beludar	k.o. round rice cake.
beludru	velvet, velveteen.
beluk	1. k.o. insect, stalk borer. 2. see seluk 1.
belukar	1 thicket, underbrush. 2 shrub.
beluku	see waluku.
belulang	1 tough, dray. 2 callus (on foot or hand). 3 rawhide. 4 (lit.) bones.
beluluk	young coconut.
belum	1 not yet. 2 not (yet) including.
belun	(java) see belum.
belungkang	1 butt end of palm leaf stalk. 2 young coconut halved.
belungkur	k.o. fish, queensland smelt.
belunjur	see unjur.
beluntas	k.o. gardenia with edible leaves used for hedges.
belur	welt up (of skin). ber-belur-belur harden into welts, raise up welts.
beluru	see akar.
belus	1. loose-fitting (of ring, clothing). 2. blouse.
belut	eel.
bembam	mem-bembam roast in bot ashes.
bemban	1. k.o. shrub the leaves of wich can be plaited. 2. k.o. staked fish trap.
bembem	thick and swollen.
bemo	(becak bermotor) 1 k.o samall motorized vehicle used for public transportation. 2 work as a driver of this vehicle.
bemper	see bumper.
ben	see band1.
bena	1 particularly, very. 2 care, attention.
benah	1. be(r)-benah-benah up, tidy up, clean up. 2. k.o. small insect harmful to rice.
benak	1. 1) marrow. 2) brain, mind. 2. 1) hard of hearing. 2) stupid, dull-witted.
benalu	1 arboreal parasitic plant, epiphyte. 2 parasite. 3 sponger, freeloader.
benam	ber-benam, mem-benam sink out of sight, hide.
benang	thread, yarn.
benar	1 correct, right. 2 right, honest, true. just, honest. 4 true, not false. 5 sincere, true. 6 valid. 7 truthful. 8 very, quite, really
benatu	see penatu.
bencah	muddy (of ground after storm).
bencana	disaster, calamity, debacle, havoc.
bencang	stunted in growth, dwarfed.
bencarung	k.o. bird, oriole.
benci	hate, dislike, aversion.
bencirit	see ceret.
bencong	(sl.) female impersonator, transvestite.
benda	thing, article, inanimate object. ber-benda wealthy, rich. mem-benda-kan make into money.
bendahara	1 treasurer, esp. of clubs, organizations, etc. 2 (lit.) grand vizier. 3 (che.) queen.
bendahari	(lit.) treasurer.
bendalu	see benalu.
bendar	irrigation canal in rice field.
bendasraya	see asuransi.
bendawi,bendawiah	material, substantive.
bende	small bronze or copper gong.
bendek,bendeks	(auto) starter drive pinion.
bendel,bendel	see bundel 1.
bendera	flag, colors.
benderang	bright, brilliant.
benderung	empty space between two buildings.
bendharawan	1 treasurer, esp. gvt. officials. 2 (acad.) bursar. 3 office accountant.
bendi	two-wheeled carriage.
bendo	large-bladed knife for cutting wood.
bendoro	(java) a title of nobility.
bendosa	(java) catafalque.
bendul	1. cross beam. 2. (coll.) swollen.
bendung	1 dike. 2 dam.
bene	(jakarta) see benah 1.
bener	see benar.
benerang	see benderang.
bengah	1 pedantic. 2 proud, conceited, arrogant, haughty.
bengal	1 momentarily deaf (as from a blow), stunned. 2 stubborn, obstinate. 3 forward, impertinent, rude.
bengalo	see bungalo.
bengang	1. ringing in the ears. 2. wide open.
bengap	1 slight deafness (from a cold or from descent of plane). 2 have difficulty speaking, incoherent (from embarrassment, shyness, or hesitation).
bengawan	(java) river.
bengek	1. 1) asthma. 2) asthmatic. 2. teat, nipple.
benggal, benggil	bump, bruise.
benggalo	1. k.o. cassava. 2. see bungalo.
benggang	have space between.
benggil	ber-benggil have bumps, be bumpy (of road).
benggol	bump, bruise.
bengik	see bengek 1.
bengis	1 cruel, strict, harsh.
bengkak	1 swollen, puffy. 2 swelling, tumor. 3 abscess.
bengkal	ke-bengkal-an choke, swallow the wrong way.
bengkal-bengkil	bruise, lump.
bengkalai	mem-bengkalai-kan neglect, leave unattended or unfinished.
bengkang	1 crooked, curved. 2 curve.
bengkap	see bingkap.
bengkar	mem-bengkar 1 expand. 2 be in bloom.
bengkarak	1 skeleton. 2 bones. 3 carcass.
bengkarung	k.o. smooth-scaled lizard.
bengkawan	1 lath around which palm thatch is made. 2 numeral classifier for thatch.
bengkawang	k.o. fern.
bengkayang	gorged, stuffed (from overeating).
bengkel	1 workshop. 2 machine shop. 3 repair shop, garage.
bengkelai	(coll.) have a fight.
bengkeng	irritable, irascible, touchy, testy.
bengkok	land for use of village employees in place of salary.
bengkol	bent, curved.
bengkong	1. crooked, bent. 2. professional circumciser.
bengkos	mem-bengkos gasping.
bengkuang	see bangkuang.
bengkudu	small treethe root of which produces dyes, morinda.
bengkulu	bencoolen (town and province in s.w. sumatra).
bengkunang	k.o. mousedeer.
bengkung	1. 1) long waist sash used by women wearing sarongs. 2) abdominal sash worn after giving birth. 2. bent, crooked.
bengle	plant used in medicines.
bengok	goiter.
bengong	1 dazed, stupefied. 2 cresfallen. 3 expressionless, vacant, blank.
bengot	slanting, sloping.
bengu	stale (of air).
benguk	1 angry, surly. 2 sulking. 3 downhearted.
bengul	red and swollen (of eyes after crying).
benian	1 strongbox. 2 jewelry box.
benih	1 seed. 2 germ. 3 semen. 4 origin, descent. 5 cause, oigin.
bening	clear, transparent.
benjal-benjol	bumpy and rocky (of road, path), lumpy (mattress).
benjol	1 lump, bump, protruding tumor. 2 bruised, swollen.
benjut	having a large lump or bump from being struck.
bensin	gasoline.
bensol	high-octane gasoline for planes.
benta	sore, boil (on upper lip).
bentak	say in a harsh manner.
bentan	relapse.
bentang	bentang-alam landscape. 1 spread out, extend. 2 reach.
bentangur	k.o. tree growing on seashore.
bentar	1 see sebentar. 2. see candi.
bentara	herald.
bentaran	(jakarta) see sebentar.
benteh	ber-benteh wrestle with the legs interwined.
benteng	1 fortress, bastion, rampart. 2 fortification, entrenchment. 3 (che.) rook, castle.
benter	ber-benter-benter 1 turn, revolve. 2 turn off, detour.
bentet	cracked open, burst open.
bentil	nipple, teat.
bentoh	see bantah.
bentok	ke-bentok hit against, bump against.
bentol	small bump (like a mosquito bite).
bentong	large splotch.
bentrok	quarrel, clash.
bentuk	1 shape, form, type. 2 bend, curve. 3 classifier used for round or curved objects.
bentul	k.o. large aroid.
bentur	ber-bentur collide.
bentus	(java) see bentur.
benua	1 continent. 2 (lit.) country.
benum	mem-benum (lit.) appoint.
benur	shrimp fry.
benyai	1 soft, mushy. 2 weak, impotent.
benyawak	see biawak.
benyek	soft, mushy (of fruit, cereal, mud).
benyot	awry, askew, skewed.
beo	myna bird. mem-beo parrot, imitate.
beol	(be'ol) (sunda) defecate.
bepergian	go on a trip, travel.
ber	see also entries with be-.
bera	1. 1) dark red. 2) red and swollen. 2) mem-bera-kan leave (paddy) fallow temporarily
berabad-abad	for centuries.
berabe	1 nuisance, annoying. 2 bad luck. 3 (coll.) darn ! (exclamation of exasperation).
berabonemen	subscribe.
berabu	dusty.
beracara	1 sit, be in session (of court, etc.). 2 be on the agenda. 3 be in litigation.
berada	1 be (in a place). 2 well-off, well-to-do.
beradab	1 cultured, civilized. 2 polite.
beradaptasi	adapt, assimilate.
beradat	1 customary, traditional, follows traditions. 2 well-mannered.
beradu	1 collide. 2 compete.
beragama	1 have a religious.. 2 be religious.
beragitasi	agitate for.
berahi	sexual desire. 2 passion, lust. 3 passionate, lustful.
berahmana	see brahmana.
berai	be spread, dispersed.
berair	1 have water. 2 juice (of fruit). 3 aqueous.
berajojing	dance this dance.
berak	mired (in mud, quicksand).
berak-berok	(java) scream and shriek.
berakad	settle an agreement or contract.
berakal	berakal
berakhir	1 end. 2 become extinct.
berakhlak	have a certain character.
berakit	1 travel by raft. 2 attached alongside.
berakraban	be chummy with, be close to.
beraksa	mythical winged creature, pegasus.
beraksi	1 be in action. 2 show off, flaunt.
beralasan	have a base or foundation.
beralaskan	1 be placed on as a base or covering of s.t. 2 be based on.
beralih	1 change. 2 shift, move.
beraliran	have an ideology.
beralun-alun	1 heave, roll, pitch, billow up. 2 be in steady movement.
beram	introxicating beverage made of fermented rice or tapioca.
beramal	1 charitable, generous. 2 pray silently.
beramanah	/beramanat/ instruct, issue an order.
berambang	see brambang.
beramping	side by side, next to.
beranda	1 veranda, porch. 2 (r.r.) station platform. 3 (naut.) quarterdeck.
berandal	see brandal.
berandang	1 conspicuous, clearly visible. 2 striking, noticeable.
berang	1 angry, furious, irate. 2 anger.
berang-berang	otter.
berangan	1. arsenic. 2. k.o. tropical chestnut and other related trees.
berangan-angan	1 dream, fantasize. 2 aim, have ideals.
berangas	barnacle.
berangasan	hot-tempered, hotheaded.
berangguk	nod.
berangkat	leave, depart, set out.
berangsang	very angry.
berangsur-angsur	1 little by little. 2 move forward a little. 3 in installments.
berangus	see brangus.
berani	audacious, brave, bold, courageous, dauntless.
beranjak	1 move, get up. 2 shift. move.
beranjangsana	tour an area.
berantak	mem-berantak-kan put s.t. into disorder.
berantas	1 fight (against), combat. 2 wipe out, remove (corruption, smallpox, inflation).
berantuk	come in contact with, touch.
berapi	1 have fire. 2 be on fire. 3 fiery, fervent. 4 very angry. livid.
berapi-api	1 furious, raging. 2 glitter, shine, sparkle (of eyes).
berapit	1 be wedged in, be hemmed in. 2 be close to e.o. 3 jammed, wedged, stuck.
berarah	have an aim or purpose.
berarti	1 mean. 2 be significant, meaningful. 3 valuable, useful.
beras	hulled rice.
beras-beras	k.o. fish, drumfish.
berat	1 heavy. 2 serious, severe. 3 hard, difficult. 4 close, oppressive, sultry. 5 weight. 6 strong (of drink, cigarettes, etc.).
berbalas	mutual response , 1.have a response 2.reverberate,echo,response.
berbarengan	1 together with, accompanied by. 2 at the same time. 3 coincide.
berbaring	1 lie down 2 be stert out (in a lounge chair ) 3 be in bed (in hospital) .
berbaris	1 form a line (of trees,etc) 2 march 3 line up , form a queue 4 (mil) to drill .
berbeda	1 be diffirent , differ , diverge 2 have a diffirence (of) .
berbelit - belit	1) wind, twist in and out. 2) complicated. 3) involved, has ramifications.
berbencah - bencah	swampy, marshy.
berbinar - binar	berbinar - binar
berboyong	1 move, shift, change, remove. 2 emigrate, settle.
bercak	pockmarked, spotted.
bercelana	wear trousers.
bercik	see percik.
bercita - cita	1) desire, long for. 2) aspire. 3) longing, yearning. 4) idea (esp. in slogans).
bercokok	see bicokok.
berdalih	1 seek an excuse 2 equivocate , quibble .
berdampingan	contiguous, side by side.
berdandan	1) dress up, get dressed. 2) decorated, made elaborate.
berdengung	1 wail (of siren, forghorn, etc.), drone (of plane). 2 resound, reverberate.
berderai - derai	1) in droves. 2) continuously.
berdesak - desak	crowd, jostle.
berdesar	1 sizzle, hiss. 2 lisp.
berdetak	1 make a tapping sound. 2 beat (of heart).
berdetasan	give off a popping sound (wet leaves burning, etc.).
berdetus,detupan	1 explode. 2 make throbbing sound.
berdikari	(berdiri di atas kaki sendiri) stand on o.'s own feet, be self-reliant.
berdiri	1 stand. 2 exist.
berdisko	dance to disco music.
berdondang	rock back and forth.
berdus	obese, copulent, potbellied.
berebet	see brebet.
berebut	1 snatch away, take away by force. 2 struggle to obtain a goal.
berek-berek	k.o. bird.
berem	see beram.
bereman	edge, verge (of road).
beremban	1 cross beam. 2 dam.
berenang	swim.
berenda	of lace, decorate with lace.
berendam	1 submerged. 2 remain in o. place.
berendeng - rendengan	be in a line, go s.w. in a line.
bereng-bereng	flat knobless gong.
berenga	maggot.
berengos	see brengos.
berengut	mem-berengut surly, sullen.
berentang	mem-berentang be stretched, taut.
berentet-rentet	line, o. after the other.
berenti	see henti.
bereo	/bereok/ (jakarta) see brewok.
beres	1 in order, well done. 2 finished, settled.
beresok	see esok.
beret	demanding, exacting.
berevolusi	evolve.
berewok	see brewok.
bergabung	1 gather together, colected together. 2 merge, fuse.
bergajul	scoundrel.
bergedel	k.o. spherical croquette (of meat and mashed potato).
bergejolak	1 flare up (of fire, temper, etc.). 2 fluctuate (of prices).
bergelandangan	loaf about, loaf around, wander aimlessly.
bergelombang	bergelombang
bergemar	enjoy o.s., have a good time.
bergerigi	1 serrated, toothed (saw, etc.). 2 jagged (edge).
bergerinding	get goose bumps from fear, stand on end (of body hair from fear).
bergerohok	1 be hollow (of tree). 2 have a cavity (of tooth).
bergesel,geser	1 shift, move. 2 rub.
bergetar	1 shake, tremble. 2 vibrate, quiver.
bergizi	nutritious, nourishing.
bergombal	1 old and torn, worn out. 2 poorly made.
bergoyang	rock, wobble. 2 sway, swing (of branches, foot, etc.).
berguk	dress covering entire body exept eyes and hands sometimes worn by muslim women.
bergulingan	roll, wallow (of several things).
bergulungan	1 roll (of waves). 2 be rolled up (of sleeves, etc.). 3 coiled (of rope, etc.).
bergumam	1 mumble. 2 suppress (laugh or smile).
berguna	useful, beneficial.
bergundah - hati	1 depressed. 2 anxious, restless.
bergurat	have a scratch or line in it.
bergurat-gurat	full of scratches or lines.
berhadapan	1 face, front on. 2 be faced with. 3 face to face.
berhadiah	with a gift.
berhak	1) have the right (to). 2) reserve the right.
berhala	berhala
berhamburan	1) scattered about. 2) flow, tricle (of tears).
berhantam	1 fight, scuffle. 2 collide with. 3 infringe on.
berhati - hati	be careful.
berhelat	celebrate with a party.
berhijarah	evacuate.
berhubung	connected, related.
berhubungan	1 related to s.t. 2 get in touch, be in contact.
berhuma	1 grow rice on dry field. 2 clear land for cultivation.
beri	1 give, bestow. 2 offer, put up. 3 (coll.). let. 4 put on, apply s.t. 5 (coll.) hit, strike. 6 add (in recipes).
beri-beri	beri-beri.
beriang	k.o. monitor lizard.
beribadah	beribadah
berikhtiar	endeavor, seek the means to.
berimigrasi	migrate.
bering-bering	large cymbal with center boss.
beringas	1 hot-tempered, wild. 2 furious.
beringin	banyan tree.
beringis	/beringisan/ grin.
berinisiative	1take the initiative. 2 have initiative.
berirama	rhythmical, having rhythm.
beriring	successive, consecutive.
berisik	1. 1) noisy, tumultuous. 2) uproar, noise. 2. 1) rustling (noise). 2) be noisy.
berita	1 news (report). 2 announcement, report.
beritahu	1 inform s.o. 2 report, tell about.
berjahat	1 sin, do wrong. 2 defame, malign s.o. 3 seduce (a female).
berjalan	1 walk. 2 run (of an engine). 3 run, go, work. 4 be going on a certain age.
berjangka	1 (be a certain) measure. 2 be spaced.
berjatuhan	fall ( plural ).
berjaya	1 victorious, triumphant, glorious. 2 successful, doing very well.
berjejal	1 crowd, jam. 2 be jampacked (with spectators, etc.).
berjejalan	thronged, crowded.
berjempalikan	turn somesaults severl times.
berjemur	expose o.s. to the sun.
berjenguk	look or peer out (of many people).
berjenis - jenis	verious.
berjenjang	1) step by step, gradual. 2) in tiers, terraced. 3) by ladder.
berjerepet	1 linked together (of links in chain). 2 grown togheter (of fingers, etc.).
berjingkek	1 tiptoe, go on tiptoe. 2 wear high heels.
berjompakan	1 prance about. 2 (naut.) leave a wake.
berjongkangan	fall (of several erect things).
berjotos	fight with the fists.
berjualan	1 sel (several things). 2 sell for a living.
berjuis	see borjuis.
berjurus - jurus	repeatedly.
berkabar	1 tell, relate. 2 send news about o.s.
berkaca	1) look in the mirror. 2) contain glass.
berkah	see berkat.
berkaitan	1 link to e.o. 2 be related to.
berkarang	1 inset (of diamond, etc.). 2 in bunches (of flowers).
berkas	1 bundle, sheaf. 2 dossier.
berkat	1 blessing, favor. 2 thanks to, owing to, due to. 3 profitable, doing well (of an enterprise). 4 small amount of food taken home after ceremonial meal.
berkata	talk, speak.
berkata-kata	converse, talk to e.o.
berkawasan	of the same region.
berkebun	1 farm, plant for a living. 2 have a plantation or garden.
berkedut	wrinkled, creased (of skin, clothes, etc.).
berkehendak	have an intention.
berkelap - kelip	1 flicker. 2 sparkle (of a gem), twinkle (of stars).
berkelibang	swarm about, fly around (of insects).
berkelibatan	be visible for only a second, flash by.
berkelik-kelik	make a loud sound.
berkelokan	winding, twisting, sinuous (road).
berkeluk	1 bend. 2 have curves.
berkelupas	get pelled off.
berkeluyuran	1 loaf around, stroll about without purpose. 2 hang around.
berkemas - kemas	1 pack. 2 clear things away, put things in order.
berkemauan	wish, desire, will.
berkemik	1 be all dented. 2 be chapped (of lips ).
berkencan	1 have an appointment. 2 have a date, dating.
berkendali	controlled, directed.restrained.
berkepentingan	having an interest, be concerned.
berkeping-keping	1 in pieces or slivers. 2 in tatters (of flag, etc.). 3 in tresses, locks.
berkeredong	wrapped, covered (in a blanket, sarong).
berkeritik-keritik	crackle, sputter (of a lighted candle).
berkerumun	1 swarm over, cluster arround, throng, mill about. 2 assemble, come together.
berkerunyut	wrinkled, shriveled (of face).
berkesempatan	have an opportunity, time.
berkesimpulan	have as a conclusion.
berkesinambungan	continous, without interruption.
berketentuan	be sure, certain.
berketepatan	coincidentally, accidentally.
berketuhanan	devout.
berketurunan	1 for generations. 2 of a certain ethnic heritage.
berkewajiban	have the dutry of.
berkeyakinan	be convinced.
berkhidmat	1 dutiful, respectful. 2 serve. 3 be faithful (to).
berkhotbah	1 preach, deliver a sermon. 2 deliver pompous opinions, pontificate.
berkicut	squeak (of a floor, etc.).
berkik	k.o. bird, pintail snipe.
berkil	k.o. fish, the perch.
berkilah-kilah	1 farfetched, forced (argument). 2 spurious (argument). 3 deceitful, fraudulant. 4 argue to defend o. self.
berkimono	wear a kimono or dressing gown.
berkinja	jump with joy.
berkirim	send through mail.
berkisar	1 revolve, turn. 2 change, shift. 3 range from a certain amount to another.
berko	bicycle lamp.
berkocak	1. joke, jest, be amusing. 2. 1) shake. 2) strike (of waves on the shore). 3) become trouble, shook up (of feelings).
berkoek	quack like a duck.
berkokok	1 crow. 2 boast, brag.
berkuak	1) open, give way to make an opening. 2) widen, become enlarged (of a hole, rip, etc.).
berkumpul	1 assemle , come together in a place 2 line up , fall in line .
berkunang-kunang	1 sparkle like fireflies. 2 see stars.
berkusu	rub the body with leaves.
berkutet - kutetan	1 be locked tightly together. 2 be deeply involved in a discussion. 3 refuse to give in, maintain a never say-die attitude. 4 struggle to the utmost for s.t., want s.t. at all costs.
berkuting-kuting	constantly follow.
berlabuh	1 anchor, dock. 2 be at anchor. 3 be pulled down (of shades, blinds).
berladang	own or cultivate an unirrigated field.
berlainan	1 different. 2 be divergent, differ.
berlaku	1 be valid, be in effect. 2 occur, happen. 3 prevail, obtain. 4 behave. 5 act as.
berlamparan	be scattered or spread about.
berlandaskan	rest on s.t., be based on s.t.
berlapur	twitch, flutter (of a bird, etc.)
berlebih	1 remain, be left (over). 2 excessive.
berleleran	drip with (perspiration).
berlemotan	smeared all over with s.t.
berlenggek - lenggekan	scream, shriek.
berlepotan	1 smeared, smudges, soiled (with blood, mud, etc.). 2 be bemirched (of reputation).
berleyehan	berleyehan
berlian	polished diamon.
berliku - liku	1 winding, curving, tortuous (of road, etc.). 2 sinous.
berlipat	traditional game in biliton in which players strike e.o. with rattan rods.
berlunju-lunjur	strech out (of arms and legs).
bermakrifat	1 philosopize. 2 concentrate.
bermasyarakat	form a group.
bermenung	1 muse, ponder, meditate. 2 act gloomy.
bermesin	bermesin
bermuhibah	go on goodwill mission.
bernafsu	passionate, lustful, desirous.
bernas	1 filled out. 2 full (of breasts). 3 pithy, terse, spirited.
bernazar	make a promise of s.t.
bernga	see berenga.
bernilai	valuable, precious.
bernyala	1 flame, flare up. 2 burn (of light).
bero	see bera 2.
beroerte	see berurte.
berok	see burut.
berombak	1 be wavy. 2 undulating, rolling (terrain, etc.).
berombongan	come in large groups.
berondong	see brondong.
beronggok-onggok	in heaps, stacks, piles.
berongsang	see berangsang.
berongsong	1 muzzle (for dogs). 2 muzzle, gag.
beronok	k.o. sea slug.
berontak	1 struggle, wriggle. 2 revolt, rebel.
beronyong	k.o. basket.
beroti	slat.
berpadanan	harmonize, go together (e.g. colors), be commensurate.
berpakaian	1 get dressed. 2 wearing certain clothes.
berpaling	turn.
berpalun-palun	embrace, hug e.o.
berpalut	berpalut
berpangkas	get a haircut.
berpangku-tangan	do nothing.
berpantingan	fall away in numbers.
berpapah	supported
berpapasan	meet without stopping.
berpatungan	chip in together to pay for s.t.
berpaut	cling to.
berpayar-payar	cruise back and forth.
berpegang	hold on to.
berpelantingan	roll everywhere.
berpendar-pendar	luminescent.
berpendaran	berpendaran
berpengaruh	influential.
berpengetahuan	knowledgeable.
berpenjak	glow.
berpenumpang	have passengers or boarders.
berperaga	hold an exhibition.
berperikemanusiaan	act in a humanitarian way.
berpesai-pesai	fall to pieces.
berpesta	celebrate, have a party.
berpetitih	speak with a proverb.
berpialang	buy through a broker.
berpijah	spawn.
berpijak	stand on.
berpikir	think.
berpilih-pilih	fastidious, squeamish, choosy.
berpilin	spiral, twist.
berpisah	1 part. 2 separated.
berpori	porous.
berpotongan	have the looks of.
berpredikatkan	have a certain title, notation.
berpropaganda	make publicity, propaganda.
berpuasa	fast, observe the fasting period.
berpulang	die.
berpulangan	go home (of many people).
berpulun-pulun	1 rise (of smoke). 2 rise like smoke (of thoughts).
berpuntal-puntal	1 winding round. 2 in balls.
berpunya	1 have property, be-well-to-do. 2 have an owner.
berpusu-pusu	gather in crowds.
berputar	1 rotate. 2 insincere, dishonest.
berroman-romanan	be in passionate love with e.o.
bersabung	flash.
bersafari	1 wear a safari costume. 2 go on a safari.
bersahabat	1 be friends. 2 friendly.
bersahaja	simple, uncomplicated.
bersaing	compete.
bersajak	1 rhyme (of words, phrases, stories). 2 be in rhyming form. 3 write poetry. 4 recite poetry.
bersalung	play the flute.
bersama	1 together with. 2 herewith. 3 joint, collective.
bersama-sama	do together.
