maluku	moluccas.
melangsir	1) (r.r.) shunt trains from o. track to another. 2) (coll.) move back and forth.
melanjar	stretch.
melankolik	/melankolis/ melancholic.
melantai	1 floor, install a floor. 2 take the floor (esp. to dance). 3 hit rock bottom.
melantak	1 hammer s.t. 2 ram, drive (a pile).
melantakkan	drum s.t. in.
melantamkan	brag, boast of s.t.
melantarkan	1 because s.t. 2 pass on (a suggestion, etc.).
melantik	install, inaugurate s.o.
melanting	throw, toss s.t.
melantingkan	melantingkan
melapangkan	1 clear space for s.o 2 relieve s.o.
melaporkan	report, notify, inform.
melar	1 stretch, expand, rise. 2 expansion. 3 elastic.
melarang	1 forbid, prohibit, ban. 2 interdict.
melarapkan	slacken, pay out ( arope)..
melarat	poor, miserable.
melaratkan	impoverish, make poor and miserable.
melarih	pour (a drink).
melarik	1 turn on a lathe. 2 bore, drill (a hole) in.
melarikan	1 cause s.t. to go, run off with s.t. 2 kidnap, abduct s.o. 3 drive (a car, etc.) at a high speed.
melas	miserable, inspiring pity.
melasa	molasses.
melata	creep, crawl, slitter.
melatat-melotot	bulge (of the eyes).
melati	jasmine.
melaung	1 shout, scream, call out loudly. 2 summon, appeal to s.o.
melawat	1 paya a visit. 2 make a trip. 3 (coll.) make a visit of conolence.
melayah	bend over backward, bow.
melayahkan	cover (the face) with a veil.
melayang	1. 1) fly. 2) drift, waft about. 2. cut s.t. in half ( e.g. mango, etc.).
melayani	1 serve, wait on (guests), take care of (customers). 2 supply. 3 man. 4 service.
melayap	1. fly just above the water's surface seeking fish (of birds). 2. doze, nod.
melayat	make a visit of condolence.
melayu	1 malay, malayan. 2 indonesian and not caucasian (self-deprecatory).
meleber	spill or run over.
melebihi	1 exceed (expectations, etc.). 2 eclipse, overshadow s.t. 3 add more (to s.t.).
melebur	1 melt, fuse. 2 destroy, wipe out. 3 merge.
melecit	1 slip away. 2 ooze through.
meledek	(jakarta) tease.
meledos	1 explode, burst. 2 collapse.
melego	1 hand over, transfer s.t. 2 sell s.t., release for sale. 3 (sl.) sell cheaply, dump.
melek	1 be awake, have o.'s eyes open. 2 be aware of the world, educated.
melekam	hold between thumb and index finger.
melekap	1 stick, adhere. 2 draw together.
melekapkan	1 affix s.t. 2 press.
melela	1 flaunt. 2 swagger, boast. 3 brandish (a sword). 4 chalenge with a sword. 5 rampage, storm, tear around.
meleleh	1 trickle, drip (of tears, etc.0. 2 melt.
melelepkan	(java) 1 submerge, immerse, dip s.t. 2 drown s.o. or s.t.
meleler	1 drip, trickle, slobber. 2 stray, wander (of thoughts).
meleletkan	spread, smear (s.t.).
melemaskan	1 weaken, soften s.t. 2 smother, stifle, suffocate s.o. 3 refine. 4 accommodate.
melembung	melembung
melembungkan	inflate, blow up (a balloon).
melempar	1.throw s.t 2. ( coll ) dispose s.t 3.trow ( esp. with stone ).
melempari	pelt s.o. or s.t.
melemparkan	throw , hurl , toss.
melempem	1 soggy, not properly dry and crisp. 2 lack hardness, grown weak.
melenceng	veer, swerve, turn.
melencit	slip away or out (as of a seed between o.'s fingers).
melencong	(jakarta) 1 veer, swerve. 2 go astray, depart (from the right path).
melendung	1 sag. 2 flex.
meleng	see meling.
melengak	1 look up. 2 (jakarta) look up in surprise.
melengangkan	1 empty, vacate s.t., clear s.t. out. 2 give s.t. appearance.
melenggak - lenggok	twist and turn, swing and sway.
melenggarakan	arrange, take care of.
melengos	1 turn o.'s head to the side. 2 avoid looking at s.o.
melengser	1. 1) slide down (of the sun, skirt). 2) grease s.t. 2. baking pan, cooking sheet. 3. (sunda) prime minister.
melenguh	1 gasp for breath. 2 bellow.
melentik	cirve upward or back (esp. of eyelashes).
melentukan	blend s.t.
melenyapkan	1 cause s.t. to vanish. 2 abolish, repeal, abrogate. 3 destroy, get rid of s.t.
melepehkan	chew and spit s.t. out.
melepoh	plaster, daub s.t.
meler	run (of nose).
melerai	break up a fight, separate (fighters).
melesat	fly away, take off.
meleset	1 miss the target, be wrong. 2 depression, slump.
melesit	1. hum, buzz (of wasps). 2. 1) spray, spout, gush. 2) blow o.'s nose.
melestarikan	1 continue, perpetuate s.t. 2 conserve, preserve (environment).
meletakan	despise, holid s.o. in contempt.
meletup	1 explode. 2 go off (gun, cannon).
meletus	1 explode, erupt (volcano, boil, etc.). 2 break out, erupt 9of a war, quarrel, epidemic).
meliau	suppurate
meligi	only, purely.
melihat	1 see s.o. or s.t. 2 observe. 3 discern.
melihat-lihat	look around, browse.
melihati	1 look at, scrutinize. 2 see, visit, look in on s.o.
melihatkan	1 show s.t. 2 observe, look at carefully.
melik	greedy.
melikuidir	liquidate.
melimbaikan	wave (the arms).
melimbang	1. wash (gold, rice, etc.). 2. loiter, lounge about.
melindangkan	run through, squander, dissiplate (o.'s wealth).
melindap	1 become overcast. 2 fade (of light).
melindas	1 knock down, run over. 2 crush (pepper, etc.).
melindi	leach s.t.
melindih	1 crush s.t. 2 level, smooth s.t. 3 crush, put down (a rebellion, etc.).
meling	1 careless, sloppy, untidy. 2 look aside, be inattentive.
melingar	look about bewildered.
melingkupi	1 cover (the head). 2 encompass, cover, include.
melingsir	set (of the sun).
melingsirkan	unroll or let down o.'s sleeves.
melinjo	1. tree (gnetum gnemon) bearing edible leaves and seeds. 2. carelessly negligent.
melintangi	1) obstruct, block s.t. 2) lie across s.t.
melintasi	1 rush past, pass in a hurry. 2 flash by s.t. 3 cross (over), traverse. 4 overcome (difficulties).
melintir	roll.
melioner	see milyuner.
melipatgandakan	multiply.
meliput	cover (an event).
meliputi	1 cover, envelop s.t. 2 comprise, include. 3 pervade.
melirik	pierce, perforate, bore through.
melisankan	express, utter, put into words.
melit	curious, inquisitive.
meliuk	1 bend (of a tree, etc.). 2 flicker.
meliwis	see belibis.
melk	canned milk.
melobakan	covet, crave.
melocok	piston rod.
melodi	melody.
melodika	k.o. wind instrument with keys like a piano.
melodoh	soften s.t. by sticking it in water.
melolong	1 howl, yelp (of a dog). 2 scream, wail.
meloloskan	1 slip off s.t. 2 realease (s.o., a secret, etc.). 3 allow s.t. to get through or out.
melonceng	1 strike (of bells, chimes). 2 ring, call. 3 toll (the death of).
melondongkan	1 wash away. 2 destroy, wipe out.
melongo	1 gawk. 2 be open-mouthed (from surprise)., bewildered.
melongong	agape, open-mouthed.
melongsor	slide down, collapse.
melonjak	jump up.
melonjak-lonjak	1 bounce around. 2 be elastic or springy. 3 boast, brag, be haughty.
melonjakkan	give a bounce or stimulus to.
melor	k.o. two-wheeled carriage.
melorotkan	lower, decrease s.t.
melotot	open wide (of eyes), bulge out 9of eyes, when angry, etc.).
meluahkan	vomit (up).
meluaki	decrease, reduce s.t.
meluangkan	1 vacate. 2 make room for. 3 make time for.
meluap	1 overflow (of a river). 2 boil over (of water). 3 flare up.
melucu	chapfe, rub, cause a blister.
melucutkan	1 take off (clothes, ring, etc.). 2 loosen, untie (a knot).
melukut	1 pieces of rice broken off in pounding. 2 s.t. insignificant.
melulu	exclusively, only.
melulum	suck (o.'s finger).
melulur	1. swallow whole, goble up. 2. apply this cosmetic.
meluluskan	1) permit, allow, grant. 2) yield to (pleas). 3) pass (an exam)
melumatkan	1 pulverize. 2 smash, destroy.
meluncur	1 slide. 2 skim.
melunjur	protrude, stick out.
melupakan	forget, forget about.
melupuh	hammer flat (bamboo for flooring).
melur	jasmine.
melurut	1 draw o.'s hand over s.t. firmly. 2 massage (by pressing in long strokes). 3 strip off (leaves, etc.) by squeezing between the fingers and pulling lengthwise.
mem-	see also entries with p- or m-.
memabukkan	intoxicate.
memacul	squeeze or press out.
memadahkan	1 express, pronounce. 2 relate.
memadam	become extinguished, go out.
memadamkan	1 extinguish, put out. 2 suppress, put out.
memagut	1 peck. 2 bite (of snake). 3 embrace
memakai	1 wear, apply a dressing. 2 use, make use of. 3 require, take.
memakaikan	put something on someone.
memakamkan	bury, inter.
memaklumatkan	announce, proclaim, declare.
memakmuran	make s.t prosper .
memaktubkan	write down.
memalingi	steal from, rob.
memalingkan	swing round, alter the course of, divert.
memamah	chew, masticate.
memampang	1 extend, widen, spread out. 2 explain.
memampuskan	enterminate, finish off.
memanah	shoot at with bow and arrow.
memancar	1 spout, spray, gush. 2 sprout.
memancarkan	1 radiatte. 2 spout, spray s.t. out. 3 broadcast.
memancung	cut off, decapitate, amputate.
memancur	gush, spout, pour out or down.
memang	1 yes, you are right, it is indeed so. 2 yes, i concede the point (but...).
memanggil	1 call, summon, send for s.o. 2 name, call.
memanggilkan	1 call s.o. by a certain name. 2 summon on behalf of.
memanggul	carry on o.'s shoulder.
memangkas	1 cut, trim hair. 2 prune, trim.
memangkur	till, work the soil.
memanjat	climb.
memantapkan	place on a solid footing.
memantau	monitor s.t., observe.
memanterai	charm, cast a spell on, read a magic formula to affect s.t.
memantik	1 strike fire. 2 snap o.'s fingers.
memantis	blacken eyebrows.
memantuk-mantukkan	nodding the head.
memantul	bounce back, bounce off.
memapangkan	show, display.
memaparkan	1 roll out, flatten. 2 explain, relate.
memapas	1 remove, take off. 2 take everything away. 3 resist. 4 criticize.
memar	bruised.
memarahi	reprimand, scold.
memarhabankan	greet a newborn baby by singing religious melodies to it.
memarun	burn bushes or weeds to clear.
memasang	1 tall in or on. 2 install. 3 fasten, pin, post. 4) turn on. 5 put in, enter a wager. 6 set.
memasok	supply (a certain commodity).
memasrahi	turn over, entrust to.
memasuki	1 enter. 2 meddle in.
memasukkan	1 take, put into. 2 import. 3 enter s.t. in. 4 (sport) enter (a goal).
memasygulkan	arouse concern.
memasyhurkan	1 make s.o. or s.t. famous. 2 spread (news), make s.t. well known.
mematuk	1 peck, bite. 2 grab with the beak. 3 manage to achieve s.t.
mematutkan	correct, put in order, fit.
memayungi	1 screen. 2 protect. 3 drape over.
memb-	see also entries with b-.
membaji	1) spilt s.t. with a wedge. 2 hold together with a peg.
membalap	1 race, compete. 2 speed, hurry a long.
membalas	1.answer,reply 2.repay , reward 3.avenge,take revenge,punish.
membanting	1 veer sharply 2 change direction (in o,s politics,opinion,attitudes).
membantu	1 help, aid, assist. 2 support, back up.
membantut	hinder, prevent.
membarut	1) scrub, clean, polish, wipe (floors, etc.). 2) grease (a pan).
membasir	see mubasir.
membatak	1 rob, plunder, pillage. 2 wander, roam.
membawa	1 carry (bag, suitcase, etc.). 2 bring, take along.
membawakan	1 bring s.t for s.o 2 present (a song ,violin solo,working paper etc) , perform. 3 portray,present. 4 recite (a poem).
membayang	1 cloud over,darken . 2 be reflected 3 apper (on o,s face) .
membayangi	1 shade 2 shadow , follow closely 3 hover about ominously .
membayangkan	1 reflect an image 2 show s.t describe 3 reflect on,image .
membayat	1 initiate. 2 honor, respect.
membeber	1 spread, unfold, display. 2 open up (a map). 3 unfurl. 4 reveal, disclose (a secret).
membedil	1 fire, shoot. 2 use a rifle, have a rifle.
membedol	uproot.
membegal	1 rob. 2 hijack, holdup.
membekuk	1) capture, arrest. 2) swindle, trick, fool.
membela	1 look after, provide material support. 2 help, assist s.o.
membelanjai	1 finance, defray expenses of. 2 bear the expense of.
membelanjakan	spend s.t.
membelerang	1 treat with sulphur. 2 fumigate.
membeludak	1) explode, burst out. 2) rage, boil up.
membenamkan	1 drown, immerse. 2 suppress. 3 sink (a knife in s.o.). 4 sink, scuttle (a ship). 5 incarcerate, jail.
memberangkatkan	dispatch, send.
memberengut	grumble, gripe.
memberhentikan	1 stop (a vehicle). 2 dismiss s.o. from his job.
